ticker,event_date,momentum_pct,filtered_dirname,expected_quote_data_file,found_in_quote_data
ARBB,2025-09-19,31.79,ARBB_2025-09-19_31.79,ARBB_quotes_2025_09_19.parquet,True
ARBB,2025-09-22,122.24,ARBB_2025-09-22_122.24,ARBB_quotes_2025_09_22.parquet,True
ARBB,2025-10-30,35.00,ARBB_2025-10-30_35.00,ARBB_quotes_2025_10_30.parquet,True
ARBEW,2025-01-07,35.14,ARBEW_2025-01-07_35.14,ARBEW_quotes_2025_01_07.parquet,True
ARBE,2025-01-03,35.78,ARBE_2025-01-03_35.78,ARBE_quotes_2025_01_03.parquet,True
ARBE,2025-01-06,86.31,ARBE_2025-01-06_86.31,ARBE_quotes_2025_01_06.parquet,True
ARBE,2025-09-22,36.65,ARBE_2025-09-22_36.65,ARBE_quotes_2025_09_22.parquet,True
ARBKL,2025-07-01,39.85,ARBKL_2025-07-01_39.85,ARBKL_quotes_2025_07_01.parquet,True
ARBKL,2025-07-14,38.16,ARBKL_2025-07-14_38.16,ARBKL_quotes_2025_07_14.parquet,True
ARBKL,2025-08-15,39.16,ARBKL_2025-08-15_39.16,ARBKL_quotes_2025_08_15.parquet,True
ARCT,2025-08-12,36.08,ARCT_2025-08-12_36.08,ARCT_quotes_2025_08_12.parquet,True
ARCT,2025-08-13,31.43,ARCT_2025-08-13_31.43,ARCT_quotes_2025_08_13.parquet,True
ARDX,2025-10-31,34.33,ARDX_2025-10-31_34.33,ARDX_quotes_2025_10_31.parquet,True
AREB,2025-01-07,86.29,AREB_2025-01-07_86.29,AREB_quotes_2025_01_07.parquet,True
AREB,2025-03-12,60.91,AREB_2025-03-12_60.91,AREB_quotes_2025_03_12.parquet,True
AREB,2025-03-19,46.95,AREB_2025-03-19_46.95,AREB_quotes_2025_03_19.parquet,True
AREB,2025-03-26,45.00,AREB_2025-03-26_45.00,AREB_quotes_2025_03_26.parquet,True
AREB,2025-04-01,54.48,AREB_2025-04-01_54.48,AREB_quotes_2025_04_01.parquet,True
AREB,2025-04-02,495.07,AREB_2025-04-02_495.07,AREB_quotes_2025_04_02.parquet,True
AREB,2025-04-04,427.53,AREB_2025-04-04_427.53,AREB_quotes_2025_04_04.parquet,True
AREB,2025-04-10,122.22,AREB_2025-04-10_122.22,AREB_quotes_2025_04_10.parquet,True
AREB,2025-04-11,44.41,AREB_2025-04-11_44.41,AREB_quotes_2025_04_11.parquet,True
AREB,2025-04-14,52.17,AREB_2025-04-14_52.17,AREB_quotes_2025_04_14.parquet,True
AREB,2025-04-23,79.63,AREB_2025-04-23_79.63,AREB_quotes_2025_04_23.parquet,True
AREB,2025-04-24,56.03,AREB_2025-04-24_56.03,AREB_quotes_2025_04_24.parquet,True
AREB,2025-05-06,39.93,AREB_2025-05-06_39.93,AREB_quotes_2025_05_06.parquet,True
AREB,2025-09-23,68.26,AREB_2025-09-23_68.26,AREB_quotes_2025_09_23.parquet,True
AREB,2025-09-26,50.49,AREB_2025-09-26_50.49,AREB_quotes_2025_09_26.parquet,True
AREB,2025-10-08,91.59,AREB_2025-10-08_91.59,AREB_quotes_2025_10_08.parquet,True
AREB,2025-10-22,84.80,AREB_2025-10-22_84.80,AREB_quotes_2025_10_22.parquet,True
AREB,2025-10-23,75.81,AREB_2025-10-23_75.81,AREB_quotes_2025_10_23.parquet,True
AREC,2025-04-16,106.58,AREC_2025-04-16_106.58,AREC_quotes_2025_04_16.parquet,True
